ID,abc_sum_tonne_km2_2010,ID,bgc_sum_tonne_km2_2010,ID,abc_sum_tonne_km2_2050,ID,bgc_sum_tonne_km2_2050,ID,soc_sum,Name,abc_sum_tonne_km2_difference,abc_sum_tonne_km2_difference_annual,bgc_sum_tonne_km2_difference_annual
26,7917562.61767578,26,2452071.12129331,26,1478448.77252197,26,458993.669723511,26,2880423.30273438,Marang,6439113.84515381,160977.846128845,49826.9362892449
27,103299974.581299,27,52924162.9855573,27,34043256.8837986,27,16625750.8805237,27,22428036.4174805,Itulu Hill,69256717.6975002,1731417.94243751,907460.302625841
28,36542935.1420898,28,53600943.6995685,28,24282976.1313782,28,36164032.7517853,28,14330817.0854492,Muhesi game Reserve - 12,12259959.0107117,306498.975267792,435922.773694581
29,2018780.17443848,29,2931528.79741192,29,0,29,0,29,1145732.16210938,Chyulu,2018780.17443848,50469.5043609619,73288.219935298
30,32991.5658569336,30,59755.2581906319,30,0,30,0,30,52507.3251953125,Amboseli,32991.5658569336,824.78914642334,1493.8814547658
31,157613.160644531,31,305596.495962143,31,0,31,0,31,44298.07421875,Ngai Ndethya,157613.160644531,3940.32901611328,7639.91239905357
32,2954541.18902588,32,4837338.76174092,32,0,32,0,32,1394687.77978516,Mkungunero Game Reserve - 10,2954541.18902588,73863.529725647,120933.469043523
33,26141850.0498047,33,35040971.7895389,33,22057804.6438751,33,27532429.0688705,33,20849813.96875,Maswa Game Reserve - 7,4084045.40592957,102101.135148239,187713.568016708
34,5616669.9432373,34,6782744.75563765,34,298251.407043457,34,177862.185974121,34,4918453.82324219,Tarangire,5318418.53619385,132960.463404846,165122.064241588
35,15993346.0595703,35,21602226.1220932,35,0,35,0,35,5825136.82763672,Mkomazi Game Reserve - 9,15993346.0595703,399833.651489258,540055.65305233
36,10957227.2347412,36,8700274.57454205,36,0,36,0,36,4698905.94921875,Chyulu Hills,10957227.2347412,273930.68086853,217506.864363551
37,11561280.3016357,37,18832767.2268748,37,0,37,0,37,4109874.67675781,Lumo,11561280.3016357,289032.007540894,470819.180671871
38,14975278.9157715,38,24922370.2648401,38,7979334.40576172,38,13651949.0957947,38,4941172.25732422,Muhesi former edge of game Reserve - 12,6995944.51000977,174898.612750244,281760.529226136
39,38592.16796875,39,31241.5875196457,39,7938.36022949219,39,8695.51020812988,39,10291.072265625,Northern Tuli,30653.8077392578,766.345193481445,563.651932787895
40,8167903.99584961,40,14042281.8486094,40,5641053.24481201,40,9834983.18103027,40,3533153.54907227,Waterberg Biosphere Reserve,2526850.7510376,63171.2687759399,105182.466689479
41,9244197.49450684,41,9624494.78757977,41,0,41,0,41,3591163.96899414,Chibavahlengwe,9244197.49450684,231104.937362671,240612.369689494
42,9586165.95483398,42,10438822.2766697,42,0,42,0,42,3764908.34106445,Sengwe Wildlife Management Area,9586165.95483398,239654.14887085,260970.556916744
43,8119070.72009277,43,8047031.09990358,43,0,43,0,43,4075967.70361328,Maose-Xini,8119070.72009277,202976.768002319,201175.77749759
44,0,44,0,44,0,44,0,44,0,Tuli,0,0,0
45,38170129.3125,45,46213865.962106,45,0,45,0,45,18859398.4841309,Gonarezhou,38170129.3125,954253.2328125,1155346.64905265
46,102449591.819153,46,118583819.409633,46,0,46,0,46,49357153.2390137,Limpopo Valley,102449591.819153,2561239.79547882,2964595.48524082
47,0,47,0,47,0,47,0,47,0,Vembe Private Nature Reserve,0,0,0
48,268082.423828125,48,550536.58940196,48,0,48,0,48,123991.597412109,Umbabat,268082.423828125,6702.06059570312,13763.414735049
49,27492.51171875,49,50601.9506514072,49,0,49,0,49,12338.3908691406,Groot - Letaba,27492.51171875,687.31279296875,1265.04876628518
50,978172.756835938,50,2021818.0599153,50,0,50,0,50,531029.981201172,Klaserie,978172.756835938,24454.3189208984,50545.4514978826
51,1789282.51660156,51,3860697.82966375,51,0,51,0,51,1056912.90527344,Timbavati,1789282.51660156,44732.0629150391,96517.4457415938
52,354146.095092773,52,588779.968470335,52,450643.941894531,52,696167.313842773,52,403814.815917969,Kalomo Hills,-96497.8468017578,-2412.44617004395,-2684.68363431096
