ID,abc_sum_tonne_km2_2010,ID,bgc_sum_tonne_km2_2010,ID,abc_sum_tonne_km2_2050,ID,bgc_sum_tonne_km2_2050,ID,soc_sum,Name,abc_sum_tonne_km2_difference_annual,bgc_sum_tonne_km2_difference_annual
66,0,66,0,66,0,66,0,66,0,Biliqo Bulesa,0,0
67,23327.8100585938,67,23663.8594970703,67,10749.2174625397,67,11549.7031173706,67,23178.138671875,Bisanadi,314.464814901352,302.853909492493
68,57294444.4857178,68,57017562.3339844,68,0,68,0,68,13548822.6142578,Bloco A Luwiri,1432361.11214294,1425439.05834961
69,31251761.8857422,69,36673135.2490234,69,0,69,0,69,9240770.75585938,Bloco B Kambaco,781294.047143555,916828.381225586
70,62651529.616333,70,72223729.2071533,70,0,70,0,70,17667363.9064941,Bloco C Luwiri,1566288.24040833,1805593.23017883
71,50517458.3339844,71,24223629.5107422,71,12072316.5181041,71,5962371.77636719,71,10289956.2009277,Bloco D Desocupado,961128.545397007,456531.443359375
72,86409712.7822266,72,36276838.916748,72,0,72,0,72,14543904.1584473,Bloco D2 Dr. Read,2160242.81955566,906920.972918701
73,71045876.5266113,73,60610429.0078125,73,28096448.2504249,73,22667869.3850641,73,16275763.7207031,Bloco E Niassa Hunter,1073735.70690466,948563.990568709
74,81794407.3720856,74,135422374.962872,74,19947261.2845361,74,34093227.7464924,74,60124369.8786621,Boma,1546178.65218874,2533228.68040948
75,146260.969238281,75,49704.453125,75,0,75,0,75,66443.294921875,Bombo East I,3656.52423095703,1242.611328125
76,63290.7021484375,76,39854.15625,76,0,76,0,76,28587.0966796875,Bombo East II,1582.26755371094,996.35390625
77,76754.5634765625,77,30210.36328125,77,0,77,0,77,41586.6318359375,Bombo Makole,1918.86408691406,755.25908203125
78,435580.928710938,78,164385.943603516,78,0,78,0,78,202657.653320312,Bombo West,10889.5232177734,4109.64859008789
79,415854.697265625,79,154460.322753906,79,0,79,0,79,133688.169921875,Bondo,10396.3674316406,3861.50806884766
80,23159285.6533203,80,15428763.8591309,80,0,80,0,80,5553046.52832031,Boni,578982.141333008,385719.096478271
81,65446.6387939453,81,120329.982910156,81,21725.4894196987,81,37076.5095901489,81,119186.853027344,Borana,1093.02873435616,2081.33683300018
82,18160698.1520996,82,16937565.0310059,82,3957558.54875445,82,3738122.89433289,82,6527494.17333984,Bouba Ndjida,355078.490083629,329986.053416824
83,5928143.49642944,83,8704911.60577393,83,1663254.4537425,83,2501388.41967773,83,4699808.765625,Boucle de la Pendjari,106622.226067173,155088.079652405
84,15603.9072265625,84,22598.76171875,84,0,84,0,84,3272.13525390625,Bour-Algi Giraffe,390.097680664063,564.96904296875
85,0,85,0,85,0,85,0,85,0,Bujingwa,0,0
86,24270.751953125,86,13703.89453125,86,12401.3568520546,86,7002.12646484375,86,13829.470703125,Bulongwa Madehani,296.73487752676,167.544201660156
87,0,87,0,87,0,87,0,87,0,Bunduki 3,0,0
88,41855482.0161438,88,36272533.1501465,88,11405580.0328732,88,9399944.31697774,88,19617960.0332031,Burigi,761247.549581766,671814.720829219
89,780974.932861328,89,1148864.97631836,89,0,89,0,89,630931.056640625,Burko,19524.3733215332,28721.624407959
90,48778.2934570312,90,32023.6508789062,90,60681.9869756699,90,39838.5971679688,90,38918.6801757812,Burko,-297.592337965965,-195.373657226562
91,116367.98828125,91,190688.358398438,91,77265.0373935699,91,121808.9453125,91,22115.8801269531,Buvuma,977.573772192001,1721.98532714844
92,0,92,0,92,0,92,0,92,0,Buyange,0,0
93,0,93,0,93,0,93,0,93,0,Buyonga,0,0
94,123681.113525391,94,167302.44140625,94,2964.17462229729,94,3415.8966178894,94,64033.9426269531,Bwabwata,3017.92347257733,4097.16361970901
95,123681.113525391,95,167302.44140625,95,2964.17462229729,95,3415.8966178894,95,64033.9426269531,Bwabwata,3017.92347257733,4097.16361970901
96,9718738.59436035,96,12317332.5308838,96,1381733.24301243,96,1874083.69015503,96,4747410.49804688,Bwabwata,208425.133783698,261081.221018219
97,9718738.59436035,97,12317332.5308838,97,1381733.24301243,97,1874083.69015503,97,4747410.49804688,Bwabwata,208425.133783698,261081.221018219
98,12409.517578125,98,8974.740234375,98,6658.66775512695,98,4815.6435546875,98,8047.9482421875,Bwiregi,143.771245574951,103.977416992188
99,7399384.82470703,99,5597369.22436523,99,5941610.84545255,99,4515365.83190918,99,1580720.36865234,Campement des Rhinoceros,36444.3494813621,27050.0848114014
100,7424452.18286133,100,7045581.29174805,100,822403.562062979,100,783145.970607758,100,3787567.30908203,Caprivi,165051.215519959,156560.883028507
101,0,101,0,101,0,101,0,101,0,Central Kalahari,0,0
